,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
124,Azhar Mahmood,388,311,21,39.0,13.0,2.0,0.0,80,20.42105263157895,124.7588424437299,90.9090909090909,127.71739130434783,90.9090909090909
125,DB Ravi Teja,375,325,25,35.0,9.0,1.0,0.0,60,18.75,115.38461538461539,91.54929577464789,110.15625,91.54929577464789
126,S Sohal,368,311,20,34.0,18.0,2.0,0.0,62,20.444444444444443,118.32797427652733,117.32283464566929,137.5,117.32283464566929
127,R Tewatia,366,280,23,24.0,20.0,1.0,0.0,53,28.153846153846153,130.71428571428572,72.72727272727273,95.65217391304348,72.72727272727273
128,P Negi,365,301,35,27.0,16.0,0.0,0.0,36,14.038461538461538,121.2624584717608,62.5,100.98039215686275,62.5
129,A Mishra,362,410,54,29.0,5.0,0.0,0.0,31,12.066666666666666,88.29268292682927,71.42857142857143,70.46979865771812,71.42857142857143
130,R Bhatia,342,290,47,24.0,13.0,0.0,0.0,26,11.793103448275861,117.93103448275862,100.0,80.35714285714286,100.0
131,P Kumar,340,323,57,22.0,17.0,0.0,0.0,34,10.0,105.26315789473684,75.0,85.1063829787234,75.0
132,AP Tare,339,285,27,40.0,11.0,1.0,0.0,59,14.125,118.94736842105263,108.0,164.7058823529412,108.0
133,SW Billings,334,256,19,31.0,10.0,3.0,0.0,56,17.57894736842105,130.46875,127.61904761904762,117.14285714285714,127.61904761904762
134,JEC Franklin,327,309,16,25.0,9.0,1.0,0.0,79,29.727272727272727,105.8252427184466,81.13207547169812,108.27067669172932,81.13207547169812
135,RN ten Doeschate,326,238,21,26.0,15.0,1.0,0.0,70,19.176470588235293,136.9747899159664,85.71428571428571,124.39024390243902,85.71428571428571
136,KV Sharma,317,285,34,18.0,14.0,0.0,0.0,39,15.095238095238095,111.2280701754386,66.66666666666667,95.87628865979381,66.66666666666667
137,R Vinay Kumar,310,289,42,21.0,9.0,0.0,0.0,26,11.923076923076923,0.0,0.0,0.0,0.0
138,MM Ali,309,199,17,21.0,23.0,3.0,0.0,66,23.76923076923077,155.27638190954775,88.37209302325581,166.66666666666666,88.37209302325581
139,DB Das,304,267,22,23.0,16.0,0.0,0.0,35,25.333333333333332,113.85767790262172,111.86440677966101,112.03703703703704,111.86440677966101
140,C de Grandhomme,303,229,21,18.0,18.0,0.0,0.0,40,20.2,132.31441048034935,11.11111111111111,137.8640776699029,11.11111111111111
141,LA Pomersbach,302,251,16,25.0,13.0,1.0,0.0,79,27.454545454545453,120.3187250996016,127.47252747252747,109.1743119266055,127.47252747252747
142,UBT Chand,300,314,20,32.0,9.0,1.0,0.0,58,15.0,95.54140127388536,90.10989010989012,93.80530973451327,90.10989010989012
143,DJG Sammy,295,251,20,15.0,18.0,1.0,0.0,60,19.666666666666668,117.52988047808765,127.27272727272727,104.31654676258992,127.27272727272727
144,SP Goswami,293,307,21,32.0,3.0,1.0,0.0,52,14.65,95.43973941368078,91.83673469387755,98.86363636363636,91.83673469387755
145,Y Nagar,285,271,20,20.0,9.0,0.0,0.0,44,19.0,105.1660516605166,45.45454545454545,80.8,45.45454545454545
146,GH Vihari,284,331,23,23.0,1.0,0.0,0.0,46,14.2,85.80060422960725,69.0909090909091,84.76821192052981,69.0909090909091
147,VVS Laxman,282,271,20,33.0,5.0,1.0,0.0,52,17.625,104.0590405904059,98.05825242718447,130.5084745762712,98.05825242718447
148,SM Curran,281,200,19,25.0,15.0,2.0,0.0,55,23.416666666666668,140.5,121.05263157894737,101.81818181818181,121.05263157894737
149,A Ashish Reddy,280,196,23,16.0,15.0,0.0,0.0,36,18.666666666666668,142.85714285714286,71.42857142857143,148.78048780487805,71.42857142857143
150,B Chipli,280,256,21,28.0,7.0,1.0,0.0,61,17.5,109.375,74.15730337078652,102.70270270270271,74.15730337078652
151,MJ Lumb,278,198,12,45.0,6.0,1.0,0.0,83,27.8,140.40404040404042,141.71428571428572,130.43478260869566,141.71428571428572
152,SO Hetmyer,275,203,16,15.0,19.0,1.0,0.0,75,21.153846153846153,135.4679802955665,100.0,139.50617283950618,100.0
153,MJ Guptill,270,196,13,24.0,15.0,1.0,0.0,50,22.5,137.75510204081633,137.8698224852071,137.03703703703704,137.8698224852071
154,R Sathish,270,236,24,22.0,6.0,0.0,0.0,27,16.875,114.40677966101696,0.0,99.06542056074767,0.0
155,M Kaif,259,258,22,22.0,6.0,0.0,0.0,34,16.1875,100.3875968992248,66.66666666666667,105.55555555555556,66.66666666666667
156,R Parag,246,214,13,23.0,8.0,1.0,0.0,50,24.6,114.95327102803738,16.666666666666668,96.61016949152543,16.666666666666668
157,SM Katich,241,191,11,26.0,8.0,2.0,0.0,75,24.1,126.17801047120419,127.64227642276423,123.07692307692308,127.64227642276423
158,BCJ Cutting,238,146,17,15.0,19.0,0.0,0.0,39,21.636363636363637,163.013698630137,50.0,116.66666666666667,50.0
159,MD Mishra,237,213,17,24.0,8.0,0.0,0.0,41,15.8,111.26760563380282,103.59712230215827,120.0,103.59712230215827
